asset_id,view,resolution,condition,clean_to_perturbed_chamfer
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,192,occlusion_15,0.05837076054350761
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,192,occlusion_15,0.048775150737224396
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,192,occlusion_15,0.061851039178495756
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,192,occlusion_15,0.06195234964840916
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,192,occlusion_15,0.03956013434863266
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,192,occlusion_15,0.10678552535102229
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,192,occlusion_15,0.04091256435017797
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,192,occlusion_15,0.1118081248041861
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,192,occlusion_15,0.05486891770462288
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,192,occlusion_15,0.04866732922163061
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,192,occlusion_15,0.0474669088726619
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,192,occlusion_15,0.048157394329900974
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,192,occlusion_30,0.05006574190557703
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,192,occlusion_30,0.08709190611057056
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,192,occlusion_30,0.036827361620167226
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,192,occlusion_30,0.08431889564696797
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,192,occlusion_30,0.06673211103739642
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,192,occlusion_30,0.05608475698866125
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,192,occlusion_30,0.06393386556876278
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,192,occlusion_30,0.06381854828928818
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,192,occlusion_30,0.04901328594731213
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,192,occlusion_30,0.08392970034044503
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,192,occlusion_30,0.051385076750215954
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,192,occlusion_30,0.08433095223858048
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,192,occlusion_30,0.04935890172600465
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,192,occlusion_30,0.04842266511002352
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,192,occlusion_30,0.04469898456315052
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,192,occlusion_30,0.04824183493136764
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,256,blur_low,0.05284380660302321
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,256,blur_low,0.08367928914984996
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,256,blur_low,0.051912101278282274
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,256,blur_low,0.0645250222581589
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,256,blur_low,0.056186497061994765
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,256,blur_low,0.04686100651610393
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,256,blur_low,0.04203660119713212
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,256,blur_low,0.03334408993497323
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,256,blur_low,0.06713930888363437
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,256,blur_low,0.04389907461423555
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,256,blur_low,0.05113636481338006
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,256,blur_low,0.030942801440968875
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,256,blur_low,0.05298715328433687
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,256,blur_low,0.02250115489656248
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,256,blur_low,0.02524448348217293
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,256,blur_low,0.03236782886564728
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,256,blur_high,0.05064740271020468
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,256,blur_high,0.08183081246430406
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,256,blur_high,0.06438384839635392
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,256,blur_high,0.06889480297707518
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,256,blur_high,0.075342710076457
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,256,blur_high,0.06821726493084751
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,256,blur_high,0.06951102374312003
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,256,blur_high,0.07257483306490861
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,256,blur_high,0.06615484044393151
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,256,blur_high,0.06363427285681672
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,256,blur_high,0.04791571161853758
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,256,blur_high,0.06268091025037453
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,256,blur_high,0.07565868627613868
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,256,blur_high,0.0672710343210662
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,256,blur_high,0.07155994493739337
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,256,blur_high,0.060698344301768535
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,256,jpeg_70,0.046287898205559924
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,256,jpeg_70,0.030654056114672004
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,256,jpeg_70,0.010933135333604248
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,256,jpeg_70,0.028479129951347645
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,256,jpeg_70,0.02946705934727468
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,256,jpeg_70,0.01847741220755296
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,256,jpeg_70,0.012628879441510348
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,256,jpeg_70,0.013335487518256493
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,256,jpeg_70,0.04613223004390045
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,256,jpeg_70,0.016065002244955093
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,256,jpeg_70,0.037958892331541996
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,256,jpeg_70,0.021709450361558816
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,256,jpeg_70,0.015443994548087897
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,256,jpeg_70,0.010380097028925395
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,256,jpeg_70,0.010650998907450294
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,256,jpeg_70,0.009497316110286178
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,256,jpeg_35,0.015754354634456583
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,256,jpeg_35,0.042774208232465694
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,256,jpeg_35,0.014546258715902009
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,256,jpeg_35,0.0515087363873534
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,256,jpeg_35,0.04680369643982821
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,256,jpeg_35,0.02856382458214885
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,256,jpeg_35,0.018740194277503286
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,256,jpeg_35,0.018581614023364185
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,256,jpeg_35,0.05540304002140754
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,256,jpeg_35,0.019308666554144534
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,256,jpeg_35,0.03291209291748162
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,256,jpeg_35,0.02606926325021206
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,256,jpeg_35,0.0238214210271986
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,256,jpeg_35,0.014483820572375801
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,256,jpeg_35,0.01140994580885998
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,256,jpeg_35,0.010328242719356444
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,256,occlusion_15,0.06769794695002394
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,256,occlusion_15,0.07575331654995093
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,256,occlusion_15,0.037140587507353294
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,256,occlusion_15,0.07793242820320519
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,256,occlusion_15,0.05815605060709142
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,256,occlusion_15,0.0503824819238443
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,256,occlusion_15,0.06258660614723563
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,256,occlusion_15,0.06263692759638884
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,256,occlusion_15,0.040023665089595026
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,256,occlusion_15,0.1081408106644972
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,256,occlusion_15,0.04039049974206188
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,256,occlusion_15,0.11270270452875628
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,256,occlusion_15,0.05449250404972972
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,256,occlusion_15,0.04966525039121837
